"","Group.1","Group.2","Group.3","Group.4","Group.5","x","Group.1","Group.2","Group.3","Group.4","Group.5","x"
"276","Song sparrow",96,"Chan & Arcese, 2003","Isolation by morphology w/o distance","Shafer 2013",0.119427299,"Song sparrow",96,"Chan & Arcese, 2003","Isolation by morphology w/o distance","Shafer 2013",0.12
"277","Ground beetle",276,"Garnier et al., 2009","Isolation by morphology w/o distance","Shafer 2013",0.5346097035,"Ground beetle",276,"Garnier et al., 2009","Isolation by morphology w/o distance","Shafer 2013",0.6
"278","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by morphology w/o distance","Shafer 2013",0.06988589,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by morphology w/o distance","Shafer 2013",0.07
"279","Walking sticks",209,"Nosil et al., 2008","Isolation by morphology w/o distance","Shafer 2013",0.119427299,"Walking sticks",209,"Nosil et al., 2008","Isolation by morphology w/o distance","Shafer 2013",0.12
"280","Darwin's finches",231,"Petren et al., 2005","Isolation by morphology w/o distance","Shafer 2013",0.405754372,"Darwin's finches",231,"Petren et al., 2005","Isolation by morphology w/o distance","Shafer 2013",0.435
"281","Mountain goats",128,"Shafer et al., 2011","Isolation by mountain range w/ distance","Shafer 2013",0.309506921,"Mountain goats",128,"Shafer et al., 2011","Isolation by mountain range w/ distance","Shafer 2013",0.32
"282","Wild sheep",276,"Worley et al., 2004","Isolation by mountain range w/ distance","Shafer 2013",0.362707468,"Wild sheep",276,"Worley et al., 2004","Isolation by mountain range w/ distance","Shafer 2013",0.38
"283","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by Nitrogen content w/o distance","Shafer 2013",0.01,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by Nitrogen content w/o distance","Shafer 2013",0.01
"284","Daphnia",171,"Orsini et al., 2012","Isolation by parasites w/ distance","Shafer 2013",-0.0149208125,"Daphnia",171,"Orsini et al., 2012","Isolation by parasites w/ distance","Shafer 2013",-0.015
"285","Brassicaciea",465,"Parisod & Christin, 2008","Isolation by phenology w/ distance","Shafer 2013",0.03,"Brassicaciea",465,"Parisod & Christin, 2008","Isolation by phenology w/ distance","Shafer 2013",0.03
"286","Brassicaciea",465,"Parisod & Christin, 2008","Isolation by phenology w/o distance","Shafer 2013",0.413644442,"Brassicaciea",465,"Parisod & Christin, 2008","Isolation by phenology w/o distance","Shafer 2013",0.44
"287","Herbaceous plant",435,"Drummond & Hamilton, 2006","Isolation by phenotype w/ distance","Shafer 2013",0.362707468,"Herbaceous plant",435,"Drummond & Hamilton, 2006","Isolation by phenotype w/ distance","Shafer 2013",0.38
"288","Herbaceous plant",435,"Drummond & Hamilton, 2006","Isolation by phenotype w/o distance","Shafer 2013",0.38847268,"Herbaceous plant",435,"Drummond & Hamilton, 2006","Isolation by phenotype w/o distance","Shafer 2013",0.41
"289","Brown trout",120,"Stelkens et al., 2012","Isolation by phenotype w/o distance","Shafer 2013",-0.0599,"Brown trout",120,"Stelkens et al., 2012","Isolation by phenotype w/o distance","Shafer 2013",-0.06
"290","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by Phosphorus retention w/o distance","Shafer 2013",-0.01,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by Phosphorus retention w/o distance","Shafer 2013",-0.01
"291","Woodcreeper",172,"Cabanne et al., 2011","Isolation by plumage w/o distance","Shafer 2013",0.353991712,"Woodcreeper",172,"Cabanne et al., 2011","Isolation by plumage w/o distance","Shafer 2013",0.37
"292","F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by precipitation w/ distance","Shafer 2013",-0.148885034,"F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by precipitation w/ distance","Shafer 2013",-0.15
"293","B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by precipitation w/ distance","Shafer 2013",0.438199315,"B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by precipitation w/ distance","Shafer 2013",0.47
"294","B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by precipitation w/ distance","Shafer 2013",0.178080868,"B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by precipitation w/ distance","Shafer 2013",0.18
"295","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by precipitation w/o distance","Shafer 2013",0.094190523,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by precipitation w/o distance","Shafer 2013",0.095
"296","F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by precipitation w/o distance","Shafer 2013",0.477700012,"F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by precipitation w/o distance","Shafer 2013",0.52
"297","B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by precipitation w/o distance","Shafer 2013",0.537049567,"B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by precipitation w/o distance","Shafer 2013",0.6
"298","B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by precipitation w/o distance","Shafer 2013",0.379948962,"B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by precipitation w/o distance","Shafer 2013",0.4
"299","Trinidadian guppy",190,"Crispo et al., 2005","Isolation by predators w/ distance","Shafer 2013",-0.1293103885,"Trinidadian guppy",190,"Crispo et al., 2005","Isolation by predators w/ distance","Shafer 2013",-0.135
"300","Daphnia",171,"Orsini et al., 2012","Isolation by predators w/ distance","Shafer 2013",0.0247707045,"Daphnia",171,"Orsini et al., 2012","Isolation by predators w/ distance","Shafer 2013",0.025
"301","European grey wolves",137,"Pilot et al., 2006","Isolation by prey w/ distance","Shafer 2013",0.119427299,"European grey wolves",137,"Pilot et al., 2006","Isolation by prey w/ distance","Shafer 2013",0.12
"302","European grey wolves",137,"Pilot et al., 2006","Isolation by prey w/o distance","Shafer 2013",0.438199315,"European grey wolves",137,"Pilot et al., 2006","Isolation by prey w/o distance","Shafer 2013",0.47
"303","Brassicaciea",465,"Parisod & Christin, 2008","Isolation by radiation w/ distance","Shafer 2013",0.148885034,"Brassicaciea",465,"Parisod & Christin, 2008","Isolation by radiation w/ distance","Shafer 2013",0.15
"304","Grey wolves",105,"Geffen et al., 2004","Isolation by rainfall w/ distance","Shafer 2013",0.0898,"Grey wolves",105,"Geffen et al., 2004","Isolation by rainfall w/ distance","Shafer 2013",0.09
"305","European grey wolves",120,"Pilot et al., 2006","Isolation by rainfall w/ distance","Shafer 2013",0.2483008225,"European grey wolves",120,"Pilot et al., 2006","Isolation by rainfall w/ distance","Shafer 2013",0.255
"306","European grey wolves",136,"Pilot et al., 2006","Isolation by rainfall w/ distance","Shafer 2013",0.291312612,"European grey wolves",136,"Pilot et al., 2006","Isolation by rainfall w/ distance","Shafer 2013",0.3
"307","European grey wolves",210,"Pilot et al., 2006","Isolation by rainfall w/ distance","Shafer 2013",0.139092448,"European grey wolves",210,"Pilot et al., 2006","Isolation by rainfall w/ distance","Shafer 2013",0.14
"308","Grey wolves",105,"Geffen et al., 2004","Isolation by rainfall w/o distance","Shafer 2013",0.0599,"Grey wolves",105,"Geffen et al., 2004","Isolation by rainfall w/o distance","Shafer 2013",0.06
"309","European grey wolves",120,"Pilot et al., 2006","Isolation by rainfall w/o distance","Shafer 2013",0.421760312,"European grey wolves",120,"Pilot et al., 2006","Isolation by rainfall w/o distance","Shafer 2013",0.45
"310","European grey wolves",136,"Pilot et al., 2006","Isolation by rainfall w/o distance","Shafer 2013",0.529895608,"European grey wolves",136,"Pilot et al., 2006","Isolation by rainfall w/o distance","Shafer 2013",0.59
"311","European grey wolves",210,"Pilot et al., 2006","Isolation by rainfall w/o distance","Shafer 2013",0.148885034,"European grey wolves",210,"Pilot et al., 2006","Isolation by rainfall w/o distance","Shafer 2013",0.15
"312","Atlantic salmon",91,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",0.19737532,"Atlantic salmon",91,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",0.2
"313","Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",0.049958375,"Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",0.05
"314","Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",0.769866536,"Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",1.02
"315","Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",0.462117157,"Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",0.5
"316","Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",0.362707468,"Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by river length w/ distance","Shafer 2013",0.38
"317","Atlantic salmon",91,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.148885034,"Atlantic salmon",91,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.15
"318","Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.178080868,"Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.18
"319","Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.529895608,"Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.59
"320","Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.413644442,"Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.44
"321","Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.371360228,"Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by river length w/o distance","Shafer 2013",0.39
"322","Herring",105,"Jørgensen et al., 2005","Isolation by salinity w/ distance","Shafer 2013",0.616909303,"Herring",105,"Jørgensen et al., 2005","Isolation by salinity w/ distance","Shafer 2013",0.72
"323","Atlantic cod",136,"Case et al., 2005","Isolation by salinity w/o distance","Shafer 2013",0.405013566,"Atlantic cod",136,"Case et al., 2005","Isolation by salinity w/o distance","Shafer 2013",0.435
"324","Atlantic cod",253,"Case et al., 2005","Isolation by salinity w/o distance","Shafer 2013",0.02,"Atlantic cod",253,"Case et al., 2005","Isolation by salinity w/o distance","Shafer 2013",0.02
"325","Song sparrow",96,"Chan & Arcese, 2003","Isolation by salinity w/o distance","Shafer 2013",0.345214034,"Song sparrow",96,"Chan & Arcese, 2003","Isolation by salinity w/o distance","Shafer 2013",0.36
"326","Herring",105,"Jørgensen et al., 2005","Isolation by salinity w/o distance","Shafer 2013",0.584979883,"Herring",105,"Jørgensen et al., 2005","Isolation by salinity w/o distance","Shafer 2013",0.67
"327","Brassicaciea",465,"Parisod & Christin, 2008","Isolation by slope w/ distance","Shafer 2013",0.03,"Brassicaciea",465,"Parisod & Christin, 2008","Isolation by slope w/ distance","Shafer 2013",0.03
"328","Greenish warbler",91,"Irwin et al., 2008","Isolation by song w/o distance","Shafer 2013",0.730593896,"Greenish warbler",91,"Irwin et al., 2008","Isolation by song w/o distance","Shafer 2013",0.93
"329","Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by substrate w/ distance","Shafer 2013",0.658409036,"Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by substrate w/ distance","Shafer 2013",0.79
"330","Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by substrate w/ distance","Shafer 2013",0.730593896,"Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by substrate w/ distance","Shafer 2013",0.93
"331","Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by substrate w/ distance","Shafer 2013",0.551128029,"Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by substrate w/ distance","Shafer 2013",0.62
"332","Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by substrate w/ distance","Shafer 2013",0.469945199,"Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by substrate w/ distance","Shafer 2013",0.51
"333","Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by substrate w/o distance","Shafer 2013",0.910424594,"Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by substrate w/o distance","Shafer 2013",1.53
"334","Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by substrate w/o distance","Shafer 2013",0.880951268,"Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by substrate w/o distance","Shafer 2013",1.38
"335","Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by substrate w/o distance","Shafer 2013",0.721132254,"Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by substrate w/o distance","Shafer 2013",0.91
"336","Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by substrate w/o distance","Shafer 2013",0.652706706,"Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by substrate w/o distance","Shafer 2013",0.78
"337","Atlantic cod",253,"Case et al., 2005","Isolation by temperature w/ distance","Shafer 2013",0.362707468,"Atlantic cod",253,"Case et al., 2005","Isolation by temperature w/ distance","Shafer 2013",0.38
"338","Atlantic salmon",153,"Dionne et al., 2008","Isolation by temperature w/ distance","Shafer 2013",0.558052216,"Atlantic salmon",153,"Dionne et al., 2008","Isolation by temperature w/ distance","Shafer 2013",0.63
"339","Atlantic salmon",820,"Dionne et al., 2008","Isolation by temperature w/ distance","Shafer 2013",0.336375544,"Atlantic salmon",820,"Dionne et al., 2008","Isolation by temperature w/ distance","Shafer 2013",0.35
"340","Atlantic salmon",1275,"Dionne et al., 2008","Isolation by temperature w/ distance","Shafer 2013",0.03,"Atlantic salmon",1275,"Dionne et al., 2008","Isolation by temperature w/ distance","Shafer 2013",0.03
"341","Grey wolves",105,"Geffen et al., 2004","Isolation by temperature w/ distance","Shafer 2013",0.0997,"Grey wolves",105,"Geffen et al., 2004","Isolation by temperature w/ distance","Shafer 2013",0.1
"342","Herring",105,"Jørgensen et al., 2005","Isolation by temperature w/ distance","Shafer 2013",0.244918662,"Herring",105,"Jørgensen et al., 2005","Isolation by temperature w/ distance","Shafer 2013",0.25
"343","Perch",120,"Leclerc et al., 2008","Isolation by temperature w/ distance","Shafer 2013",0.178080868,"Perch",120,"Leclerc et al., 2008","Isolation by temperature w/ distance","Shafer 2013",0.18
"344","Brassicaciea",465,"Parisod & Christin, 2008","Isolation by temperature w/ distance","Shafer 2013",-0.02,"Brassicaciea",465,"Parisod & Christin, 2008","Isolation by temperature w/ distance","Shafer 2013",-0.02
"345","Atlantic salmon",91,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.0898,"Atlantic salmon",91,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.09
"346","Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.0599,"Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.06
"347","Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.03,"Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.03
"348","Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.158648504,"Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.16
"349","Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.216518061,"Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by temperature w/ distance","Shafer 2013",0.22
"350","European grey wolves",120,"Pilot et al., 2006","Isolation by temperature w/ distance","Shafer 2013",0.300437097,"European grey wolves",120,"Pilot et al., 2006","Isolation by temperature w/ distance","Shafer 2013",0.31
"351","European grey wolves",136,"Pilot et al., 2006","Isolation by temperature w/ distance","Shafer 2013",0.282134813,"European grey wolves",136,"Pilot et al., 2006","Isolation by temperature w/ distance","Shafer 2013",0.29
"352","European grey wolves",210,"Pilot et al., 2006","Isolation by temperature w/ distance","Shafer 2013",0.187746206,"European grey wolves",210,"Pilot et al., 2006","Isolation by temperature w/ distance","Shafer 2013",0.19
"353","F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by temperature w/ distance","Shafer 2013",-0.421899005,"F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by temperature w/ distance","Shafer 2013",-0.45
"354","B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by temperature w/ distance","Shafer 2013",0.379948962,"B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by temperature w/ distance","Shafer 2013",0.4
"355","B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by temperature w/ distance","Shafer 2013",0.01,"B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by temperature w/ distance","Shafer 2013",0.01
"356","Spiny lobster",136,"Selkoe et al., 2010","Isolation by temperature w/ distance","Shafer 2013",-0.272905081,"Spiny lobster",136,"Selkoe et al., 2010","Isolation by temperature w/ distance","Shafer 2013",-0.28
"357","Kelp bass",190,"Selkoe et al., 2010","Isolation by temperature w/ distance","Shafer 2013",0.371360228,"Kelp bass",190,"Selkoe et al., 2010","Isolation by temperature w/ distance","Shafer 2013",0.39
"358","Kellet's whelk",741,"Selkoe et al., 2010","Isolation by temperature w/ distance","Shafer 2013",0.19737532,"Kellet's whelk",741,"Selkoe et al., 2010","Isolation by temperature w/ distance","Shafer 2013",0.2
"359","Starfish",120,"Sponer & Roy, 2002","Isolation by temperature w/ distance","Shafer 2013",0.0599,"Starfish",120,"Sponer & Roy, 2002","Isolation by temperature w/ distance","Shafer 2013",0.06
"360","Sea urchin",153,"Banks et al., 2010","Isolation by temperature w/o distance","Shafer 2013",0.371328215,"Sea urchin",153,"Banks et al., 2010","Isolation by temperature w/o distance","Shafer 2013",0.39
"361","Atlantic cod",136,"Case et al., 2005","Isolation by temperature w/o distance","Shafer 2013",0.496326608,"Atlantic cod",136,"Case et al., 2005","Isolation by temperature w/o distance","Shafer 2013",0.67
"362","Atlantic cod",253,"Case et al., 2005","Isolation by temperature w/o distance","Shafer 2013",0.62306535,"Atlantic cod",253,"Case et al., 2005","Isolation by temperature w/o distance","Shafer 2013",0.73
"363","Atlantic salmon",153,"Dionne et al., 2008","Isolation by temperature w/o distance","Shafer 2013",0.629145161,"Atlantic salmon",153,"Dionne et al., 2008","Isolation by temperature w/o distance","Shafer 2013",0.74
"364","Atlantic salmon",820,"Dionne et al., 2008","Isolation by temperature w/o distance","Shafer 2013",0.362707468,"Atlantic salmon",820,"Dionne et al., 2008","Isolation by temperature w/o distance","Shafer 2013",0.38
"365","Atlantic salmon",1275,"Dionne et al., 2008","Isolation by temperature w/o distance","Shafer 2013",0.2069665,"Atlantic salmon",1275,"Dionne et al., 2008","Isolation by temperature w/o distance","Shafer 2013",0.21
"366","Grey wolves",105,"Geffen et al., 2004","Isolation by temperature w/o distance","Shafer 2013",0.0898,"Grey wolves",105,"Geffen et al., 2004","Isolation by temperature w/o distance","Shafer 2013",0.09
"367","Herring",105,"Jørgensen et al., 2005","Isolation by temperature w/o distance","Shafer 2013",0.244918662,"Herring",105,"Jørgensen et al., 2005","Isolation by temperature w/o distance","Shafer 2013",0.25
"368","Perch",120,"Leclerc et al., 2008","Isolation by temperature w/o distance","Shafer 2013",0.2069665,"Perch",120,"Leclerc et al., 2008","Isolation by temperature w/o distance","Shafer 2013",0.21
"369","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by temperature w/o distance","Shafer 2013",-0.0869124175,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by temperature w/o distance","Shafer 2013",-0.09
"370","Atlantic salmon",91,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.353991712,"Atlantic salmon",91,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.37
"371","Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.641076961,"Atlantic salmon",210,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.76
"372","Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.551128029,"Atlantic salmon",231,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.62
"373","Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.500520211,"Atlantic salmon",406,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.55
"374","Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.507977433,"Atlantic salmon",561,"Perrier & Guyomard, 2011","Isolation by temperature w/o distance","Shafer 2013",0.56
"375","European grey wolves",120,"Pilot et al., 2006","Isolation by temperature w/o distance","Shafer 2013",0.564899553,"European grey wolves",120,"Pilot et al., 2006","Isolation by temperature w/o distance","Shafer 2013",0.64
"376","European grey wolves",136,"Pilot et al., 2006","Isolation by temperature w/o distance","Shafer 2013",0.685809062,"European grey wolves",136,"Pilot et al., 2006","Isolation by temperature w/o distance","Shafer 2013",0.84
"377","European grey wolves",210,"Pilot et al., 2006","Isolation by temperature w/o distance","Shafer 2013",0.327477395,"European grey wolves",210,"Pilot et al., 2006","Isolation by temperature w/o distance","Shafer 2013",0.34
"378","F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by temperature w/o distance","Shafer 2013",0.379948962,"F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by temperature w/o distance","Shafer 2013",0.4
"379","B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by temperature w/o distance","Shafer 2013",0.492987967,"B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by temperature w/o distance","Shafer 2013",0.54
"380","B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by temperature w/o distance","Shafer 2013",0.309506921,"B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by temperature w/o distance","Shafer 2013",0.32
"381","Spiny lobster",136,"Selkoe et al., 2010","Isolation by temperature w/o distance","Shafer 2013",0.2069665,"Spiny lobster",136,"Selkoe et al., 2010","Isolation by temperature w/o distance","Shafer 2013",0.21
"382","Perch",120,"Leclerc et al., 2008","Isolation by turbidity w/ distance","Shafer 2013",0.10955847,"Perch",120,"Leclerc et al., 2008","Isolation by turbidity w/ distance","Shafer 2013",0.11
"383","Perch",120,"Leclerc et al., 2008","Isolation by turbidity w/o distance","Shafer 2013",0.19737532,"Perch",120,"Leclerc et al., 2008","Isolation by turbidity w/o distance","Shafer 2013",0.2
"384","Grey wolves",105,"Geffen et al., 2004","Isolation by vegetation w/ distance","Shafer 2013",0.129272584,"Grey wolves",105,"Geffen et al., 2004","Isolation by vegetation w/ distance","Shafer 2013",0.13
"385","European grey wolves",120,"Pilot et al., 2006","Isolation by vegetation w/ distance","Shafer 2013",0.7031867105,"European grey wolves",120,"Pilot et al., 2006","Isolation by vegetation w/ distance","Shafer 2013",0.875
"386","European grey wolves",136,"Pilot et al., 2006","Isolation by vegetation w/ distance","Shafer 2013",0.571669966,"European grey wolves",136,"Pilot et al., 2006","Isolation by vegetation w/ distance","Shafer 2013",0.65
"387","European grey wolves",210,"Pilot et al., 2006","Isolation by vegetation w/ distance","Shafer 2013",0.485381091,"European grey wolves",210,"Pilot et al., 2006","Isolation by vegetation w/ distance","Shafer 2013",0.53
"388","Grey wolves",105,"Geffen et al., 2004","Isolation by vegetation w/o distance","Shafer 2013",0.19737532,"Grey wolves",105,"Geffen et al., 2004","Isolation by vegetation w/o distance","Shafer 2013",0.2
"389","European grey wolves",120,"Pilot et al., 2006","Isolation by vegetation w/o distance","Shafer 2013",0.684502288,"European grey wolves",120,"Pilot et al., 2006","Isolation by vegetation w/o distance","Shafer 2013",0.84
"390","European grey wolves",136,"Pilot et al., 2006","Isolation by vegetation w/o distance","Shafer 2013",0.680476006,"European grey wolves",136,"Pilot et al., 2006","Isolation by vegetation w/o distance","Shafer 2013",0.83
"391","European grey wolves",210,"Pilot et al., 2006","Isolation by vegetation w/o distance","Shafer 2013",0.469945199,"European grey wolves",210,"Pilot et al., 2006","Isolation by vegetation w/o distance","Shafer 2013",0.51
"392","Cliff Swallow",4323,"Brown et al. 1995","Blank","Watson, 2013",0.00779,"Cliff Swallow",4323,"Brown et al. 1995","Blank","Watson, 2013",0.00779
"393","Cliff Swallow",338,"Chapman & George 1991","breeding success","Watson, 2013",0.725313228,"Cliff Swallow",338,"Chapman & George 1991","breeding success","Watson, 2013",0.918766229
"394","Great Tit",108,"Fitze et al. 2004","Clutch Size","Watson, 2013",0.135581812,"Great Tit",108,"Fitze et al. 2004","Clutch Size","Watson, 2013",0.136421871
"395","Cliff Swallow",36,"Brown & Brown 2004","Survival","Watson, 2013",0.222164606,"Cliff Swallow",36,"Brown & Brown 2004","Survival","Watson, 2013",0.225931953
"396","Bighorn Sheep",35,"Schmidt et al. 1979","Survival","Watson, 2013",0.781224513,"Bighorn Sheep",35,"Schmidt et al. 1979","Survival","Watson, 2013",1.048505154
"397","Cliff Swallow",96,"Brown & Brown 1986","young produced","Watson, 2013",0.375369485,"Cliff Swallow",96,"Brown & Brown 1986","young produced","Watson, 2013",0.394658695
